,utm_source,utm_medium,utm_campaign,utm_content,date,goal_add_to_cart,goal_move_to_cart,goal_order_in_cart,goal_pay_success,goal_order_confirmed,new_user,order_amount,order_sum
288,blogger,post,bloggercampaignname_968,0.0,2020-11-26,0,0,0,0,0,1,0,0
289,blogger,post,bloggercampaignname_968,0.0,2020-11-27,0,0,0,0,0,1,0,0
290,blogger,post,bloggercampaignname_968,0.0,2020-11-28,0,0,0,0,0,1,0,0
291,blogger,post,bloggercampaignname_968,0.0,2020-11-30,0,0,0,0,0,0,0,0
292,blogger,post,bloggercampaignname_968,0.0,2020-12-01,0,0,0,0,0,1,0,0
293,blogger,post,bloggercampaignname_968,0.0,2020-12-09,1,1,1,0,0,4,0,0
294,blogger,post,bloggercampaignname_968,0.0,2020-12-11,0,0,0,0,0,1,0,0
295,blogger,post,bloggercampaignname_968,0.0,2020-12-21,1,0,0,0,0,0,0,0
296,blogger,post,bloggercampaignname_968,0.0,2020-12-23,0,0,0,0,0,1,0,0
297,blogger,post,bloggercampaignname_988,0.0,2020-11-10,1,1,1,0,0,3,0,0
298,blogger,post,bloggercampaignname_988,0.0,2020-11-25,1,1,1,1,1,0,3,3333
